date,product_id,units_sold,predicted_demand,prediction_error,absolute_error,discount_percent,selling_price
2024-01-31,P001,29,33.15,-4.15,4.15,0,12500.0
2024-02-01,P001,29,32.66,-3.66,3.66,0,12500.0
2024-02-02,P001,35,32.65,2.35,2.35,5,11875.0
2024-02-03,P001,27,27.48,-0.48,0.48,5,11875.0
2024-02-04,P001,25,24.99,0.01,0.01,10,11250.0
2024-02-05,P001,24,30.11,-6.11,6.11,20,10000.0
2024-02-06,P001,39,35.73,3.27,3.27,10,11250.0
2024-02-07,P001,37,35.11,1.89,1.89,0,12500.0
2024-02-08,P001,31,33.37,-2.37,2.37,15,10625.0
2024-02-09,P001,38,34.31,3.69,3.69,0,12500.0
2024-02-10,P001,31,28.11,2.89,2.89,0,12500.0
2024-02-11,P001,26,26.03,-0.03,0.03,5,11875.0
2024-02-12,P001,25,29.99,-4.99,4.99,0,12500.0
2024-02-13,P001,27,31.11,-4.11,4.11,5,11875.0
2024-02-14,P001,27,31.95,-4.95,4.95,0,12500.0
2024-02-15,P001,41,35.58,5.42,5.42,0,12500.0
2024-02-16,P001,30,31.6,-1.6,1.6,0,12500.0
2024-02-17,P001,27,26.18,0.82,0.82,0,12500.0
2024-02-18,P001,23,24.44,-1.44,1.44,20,10000.0
2024-02-19,P001,38,35.17,2.83,2.83,10,11250.0
2024-02-20,P001,31,32.39,-1.39,1.39,0,12500.0
2024-02-21,P001,34,33.16,0.84,0.84,0,12500.0
2024-02-22,P001,17,26.5,-9.5,9.5,5,11875.0
2024-02-23,P001,45,38.56,6.44,6.44,0,12500.0
2024-02-24,P001,32,29.47,2.53,2.53,5,11875.0
2024-02-25,P001,24,25.71,-1.71,1.71,10,11250.0
2024-02-26,P001,38,33.09,4.91,4.91,0,12500.0
2024-02-27,P001,38,33.86,4.14,4.14,0,12500.0
2024-02-28,P001,32,32.91,-0.91,0.91,0,12500.0
2024-02-29,P001,40,35.3,4.7,4.7,5,11875.0
2024-03-01,P001,29,32.36,-3.36,3.36,20,10000.0
2024-03-02,P001,26,25.84,0.16,0.16,15,10625.0
2024-03-03,P001,23,25.33,-2.33,2.33,20,10000.0
2024-03-04,P001,32,31.74,0.26,0.26,0,12500.0
2024-03-05,P001,23,30.07,-7.07,7.07,20,10000.0
2024-03-06,P001,35,34.16,0.84,0.84,5,11875.0
2024-03-07,P001,30,31.59,-1.59,1.59,10,11250.0
2024-03-08,P001,29,32.81,-3.81,3.81,15,10625.0
2024-03-09,P001,24,25.55,-1.55,1.55,0,12500.0
2024-03-10,P001,29,26.57,2.43,2.43,5,11875.0
2024-03-11,P001,36,33.78,2.22,2.22,10,11250.0
2024-03-12,P001,26,30.89,-4.89,4.89,0,12500.0
2024-03-13,P001,34,32.34,1.66,1.66,0,12500.0
2024-03-14,P001,32,32.37,-0.37,0.37,10,11250.0
2024-03-15,P001,39,33.87,5.13,5.13,10,11250.0
2024-03-16,P001,44,37.6,6.4,6.4,5,11875.0
2024-03-17,P001,17,21.47,-4.47,4.47,10,11250.0
2024-03-18,P001,29,30.83,-1.83,1.83,0,12500.0
2024-03-19,P001,54,41.33,12.67,12.67,10,11250.0
2024-03-20,P001,34,34.79,-0.79,0.79,20,10000.0
2024-03-21,P001,39,35.06,3.94,3.94,10,11250.0
2024-03-22,P001,32,33.7,-1.7,1.7,20,10000.0
