product_id,current_inventory,safety_stock,reorder_point,lead_time_days,supplier
P001,202,59,99,26,Supplier_C
P002,171,29,63,27,Supplier_C
P011,314,68,130,17,Supplier_E
P015,199,50,89,14,Supplier_E
P016,357,98,169,30,Supplier_B
P017,291,70,128,27,Supplier_B
P018,121,18,42,18,Supplier_C
P019,158,24,55,16,Supplier_D
P020,563,122,234,21,Supplier_C
P041,463,137,229,29,Supplier_A
P042,230,55,101,11,Supplier_E
P043,428,65,150,13,Supplier_A
P044,415,112,195,20,Supplier_A
P045,445,82,171,27,Supplier_D
P003,160,38,70,13,Supplier_C
P004,255,48,99,23,Supplier_D
P012,51,10,20,12,Supplier_D
P014,103,27,47,24,Supplier_B
P025,251,60,110,10,Supplier_D
P026,298,82,141,14,Supplier_E
P027,131,35,61,21,Supplier_B
P050,266,45,98,19,Supplier_E
P021,84,17,33,13,Supplier_A
P022,27,10,15,30,Supplier_C
P023,100,25,45,14,Supplier_A
P024,24,10,14,16,Supplier_A
P005,57,15,26,13,Supplier_D
P006,63,10,22,7,Supplier_E
P031,128,31,56,18,Supplier_C
P032,64,13,25,7,Supplier_C
P033,30,10,16,11,Supplier_C
P034,38,10,17,21,Supplier_B
P035,106,16,37,25,Supplier_A
P009,91,26,44,10,Supplier_E
P010,182,32,68,17,Supplier_E
P028,199,38,77,13,Supplier_D
P029,105,28,49,16,Supplier_A
P030,173,30,64,18,Supplier_C
P046,167,47,80,29,Supplier_A
P047,168,34,67,26,Supplier_C
P048,142,32,60,12,Supplier_A
P007,111,28,50,11,Supplier_B
P008,221,64,108,30,Supplier_A
P013,229,36,81,23,Supplier_B
P036,101,18,38,18,Supplier_B
P037,180,30,66,23,Supplier_A
P038,236,69,116,23,Supplier_D
P039,103,19,39,29,Supplier_A
P040,178,44,79,25,Supplier_E
P049,221,41,85,12,Supplier_D
P051,538,110,217,17,Supplier_A
P052,354,72,142,12,Supplier_D
P053,147,30,59,12,Supplier_A
P054,250,63,113,12,Supplier_C
P055,187,28,65,10,Supplier_C
P056,38,10,17,26,Supplier_D
P057,588,123,240,7,Supplier_B
P058,153,38,68,7,Supplier_A
P059,118,34,57,24,Supplier_B
P060,148,36,65,13,Supplier_B
P061,211,48,90,26,Supplier_B
P062,178,52,87,22,Supplier_E
P063,66,13,26,29,Supplier_C
P064,246,68,117,22,Supplier_D
P065,191,50,88,28,Supplier_D
