date,product_id,region,units_sold,original_price,discount_percent,selling_price
2024-01-01,P001,Central,38,12500,10,11250.0
2024-01-02,P001,South,33,12500,5,11875.0
2024-01-03,P001,Central,36,12500,10,11250.0
2024-01-04,P001,West,41,12500,20,10000.0
2024-01-05,P001,West,35,12500,5,11875.0
2024-01-06,P001,East,25,12500,20,10000.0
2024-01-07,P001,Central,28,12500,5,11875.0
2024-01-08,P001,Central,34,12500,10,11250.0
2024-01-09,P001,South,32,12500,20,10000.0
2024-01-10,P001,South,34,12500,5,11875.0
2024-01-11,P001,West,36,12500,5,11875.0
2024-01-12,P001,East,30,12500,5,11875.0
2024-01-13,P001,South,26,12500,10,11250.0
2024-01-14,P001,South,30,12500,5,11875.0
2024-01-15,P001,West,31,12500,15,10625.0
2024-01-16,P001,West,35,12500,20,10000.0
2024-01-17,P001,West,39,12500,0,12500.0
2024-01-18,P001,Central,36,12500,0,12500.0
2024-01-19,P001,South,24,12500,15,10625.0
2024-01-20,P001,West,24,12500,20,10000.0
2024-01-21,P001,North,21,12500,15,10625.0
2024-01-22,P001,North,35,12500,0,12500.0
2024-01-23,P001,East,30,12500,0,12500.0
2024-01-24,P001,East,39,12500,0,12500.0
2024-01-25,P001,South,38,12500,20,10000.0
2024-01-26,P001,North,43,12500,0,12500.0
2024-01-27,P001,Central,19,12500,0,12500.0
2024-01-28,P001,East,34,12500,10,11250.0
2024-01-29,P001,East,20,12500,20,10000.0
2024-01-30,P001,South,42,12500,10,11250.0
2024-01-31,P001,South,29,12500,0,12500.0
2024-02-01,P001,Central,29,12500,0,12500.0
2024-02-02,P001,Central,35,12500,5,11875.0
2024-02-03,P001,Central,27,12500,5,11875.0
2024-02-04,P001,West,25,12500,10,11250.0
2024-02-05,P001,East,24,12500,20,10000.0
2024-02-06,P001,North,39,12500,10,11250.0
2024-02-07,P001,West,37,12500,0,12500.0
2024-02-08,P001,East,31,12500,15,10625.0
2024-02-09,P001,West,38,12500,0,12500.0
2024-02-10,P001,East,31,12500,0,12500.0
2024-02-11,P001,West,26,12500,5,11875.0
2024-02-12,P001,East,25,12500,0,12500.0
2024-02-13,P001,Central,27,12500,5,11875.0
2024-02-14,P001,East,27,12500,0,12500.0
2024-02-15,P001,North,41,12500,0,12500.0
2024-02-16,P001,West,30,12500,0,12500.0
2024-02-17,P001,South,27,12500,0,12500.0
2024-02-18,P001,East,23,12500,20,10000.0
2024-02-19,P001,South,38,12500,10,11250.0
2024-02-20,P001,North,31,12500,0,12500.0
2024-02-21,P001,South,34,12500,0,12500.0
2024-02-22,P001,West,17,12500,5,11875.0
2024-02-23,P001,East,45,12500,0,12500.0
2024-02-24,P001,South,32,12500,5,11875.0
2024-02-25,P001,East,24,12500,10,11250.0
2024-02-26,P001,East,38,12500,0,12500.0
2024-02-27,P001,Central,38,12500,0,12500.0
2024-02-28,P001,South,32,12500,0,12500.0
2024-02-29,P001,East,40,12500,5,11875.0
2024-03-01,P001,South,29,12500,20,10000.0
2024-03-02,P001,East,26,12500,15,10625.0
2024-03-03,P001,South,23,12500,20,10000.0
2024-03-04,P001,West,32,12500,0,12500.0
2024-03-05,P001,West,23,12500,20,10000.0
2024-03-06,P001,East,35,12500,5,11875.0
2024-03-07,P001,East,30,12500,10,11250.0
2024-03-08,P001,North,29,12500,15,10625.0
2024-03-09,P001,West,24,12500,0,12500.0
